,Track,Explicit,Tpopularity,Artist,Album,Rdate
316,Strawberry Soul,false,39,Willie Mitchell,The Best of Willie Mitchell,2014
317,You Can't Judge A Book By It's Cover,false,39,Bo Diddley,The Chess Box,1990-07-26
318,Down Ta My House,false,24,Rufus Thomas,Stax-Volt: The Complete Singles 1959-1968,1991
319,Kansas City,false,6,Wilbert Harrison,Rockabilly Madness,2007-10-09
320,I Don't Hurt Anymore,false,5,Dinah Washington,Gold,2007-01-01
321,It Ain't The Meat,false,38,The Swallows,50s Doo Wop Essentials,2009-06-01
322,Don't Be Angry,false,39,Nappy Brown,Don't Be Angry (Savoy Singles 1954 - 1956),2012-02-25
323,5-10-15 Hours,false,44,Ruth Brown,Ruth Brown,1957
324,See See Rider,false,47,LaVern Baker,Soul On Fire: The Best Of LaVern Baker,2005-03-22
325,Port Of Rico,false,5,Illinois Jacquet,Verve: The Sound Of America: The Singles Collection,2013-01-01
326,Bip Bam,false,5,The Drifters,Bip Bam,2013-11-15
327,How Many More Years,false,6,Howlin' Wolf,The Sun Years,2000-03-14
328,Smooth Sailing,false,5,Ella Fitzgerald,Ella Fitzgerald,2004
329,La vie en rose,false,53,Grace Jones,Portfolio,1977-01-01
330,Concerto Grosso No. 5 in D Minor (after D. Scarlatti): I. Largo,false,9,Charles Avison,Avison: Concerti grossi After Scarlatti,2013-04-01
331,"Hasse: Sanctus Petrus et Sancta Maria Magdalena: ""Mea tormenta, properate!""",false,29,Johann Adolf Hasse,"Anima Sacra - Hasse: Sanctus Petrus et Sancta Maria Magdalena: ""Mea tormenta, properate!""",2018-09-14
332,"Suite For Cello Solo No.1 In G, BWV 1007: 1. Prélude",false,34,Johann Sebastian Bach,Bach: The Cello Suites,2005-01-01
333,Beethoven : Symphony No.9 in D minor Op.125 : II Molto vivace,false,64,Ludwig van Beethoven,Beethoven : Symphonies Nos 1 - 9,1991-06-01
334,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",false,66,Johann Sebastian Bach,"Bach: Cello Suites Nos. 1-6, BWV 1007-1012",1983
335,Something's Got A Hold On Me,false,63,Etta James,The Sweetest Peaches [Part One (1940-1966)],1990-10-25
336,What A Diff'rence A Day Made - Single Version/Original Title,false,59,Dinah Washington,What A Diff'rence A Day Makes!,1959
337,I Don't Want to Do Wrong,false,26,Esther Phillips,"Alone Again, Naturally (Expanded Edition)",2014
338,Beautiful Love,false,48,Anita O'Day,Anita,1955-01-01
339,Birth Of The Blues,false,43,Sammy Davis Jr.,A Treasury Of Golden Hits,1963
340,Monotonous,false,27,Eartha Kitt,The Essential Eartha Kitt,2011-03-15
341,Whisper Not,false,57,Anita O'Day,Top 50 Romantic Jazz Singers,2015-02-12
342,Unlucky Girl,false,27,Big Mama Thornton,Ball And Chain,1989
343,That's All I Need To Know,false,41,Sam Cooke,The 2 Sides Of Sam Cooke,1970-01-01
344,Can't Nobody Love You,false,63,Solomon Burke,The Very Best Of Solomon Burke,1998
345,The Boy From Ipanema,false,59,Nancy Wilson,How Glad I Am,1964-01-01
346,A Sunday Kind Of Love,false,62,Etta James,At Last!,1960
347,C'est Si Bon,false,51,Eartha Kitt,Something's Gotta Give - Music From The Motion Picture,2003-12-09
348,Manhattan,false,50,Ella Fitzgerald,Ella Fitzgerald Sings The Rodgers And Hart Song Book,1956-01-01
349,"I'm A Bad, Bad Girl",false,27,Esther Phillips,Better Beware,1975
350,Summer Stock: Get Happy,false,26,Judy Garland,"Vintage Hollywood Classics, Vol. 32: Judy Garland meets Gene Kelly (Remastered 2017)",2017-07-21
351,Pour qu'elle soit jolie ma chanson - Remasterisé en 2015,false,32,Édith Piaf,Edith Piaf,2017-12-15
352,Zing! Went The Strings Of My Heart - Remastered,false,37,Judy Garland,The Essential Capitol Collection,2011-01-01
353,Is You Is or Is You Ain't My Baby - 2002 Remaster,false,53,Dinah Washington,Dinah '62,2003-06-23
354,Y a pas de printemps,false,37,Édith Piaf,50 succès essentiels,2013-01-01
355,When You're Smiling (The Whole World Smiles With You) - Live At Carnegie Hall/1961,false,27,Judy Garland,Judy At Carnegie Hall,2010-01-01
356,Let's Fall in Love,false,45,Vic Damone,That Towering Feeling,1956
357,It Never Was You,false,22,Judy Garland,The Essential Capitol Collection,2011-01-01
358,Céline - Remasterisé en 2015,false,38,Édith Piaf,Edith Piaf,2017-12-15
359,The Glory of Love,false,42,Jimmy Durante,As Time Goes By: The Best Of Jimmy Durante,1993-10-01
360,Comes Once In A Lifetime,false,31,Judy Garland,The Essential Capitol Collection,2011-01-01
361,The Gypsy - Live at Newport Jazz Festival 1956,false,44,Louis Armstrong,The Columbia & RCA Victor Live Recordings Vol. 3,2018-09-14
362,Life Is Just A Bowl Of Cherries,false,31,Judy Garland,The Essential Capitol Collection,2011-01-01
363,La Foule,false,45,Édith Piaf,Eternelle,1987-10-31
364,Hello Bluebird,false,22,Judy Garland,The Essential Capitol Collection,2011-01-01
365,That's My Desire,false,39,Louis Armstrong,The Night Clubs,2017-11-17
366,Tight,false,10,Betty Carter,The Betty Carter Album,1972
367,You Can't Have Everything,false,23,Jimmy Durante,Hello Young Lovers,1964
368,Linger Awhile,false,58,Vic Damone,Linger Awhile with Vic Damone,2012-01-01
369,Keep Your Hand On Your Heart,false,12,Joe Williams,Presenting Joe Williams & Thad Jones / Mel Lewis Orchestra,1994-10-28
370,"Let's Do It (From ""Paris"")",false,32,Eartha Kitt,The Essential Eartha Kitt,2011-03-15
371,Just a Little Lovin',false,40,Carmen McRae,Just A Little Lovin',2004-08-31
372,"I Wan'na Be Like You (The Monkey Song) - From ""The Jungle Book"" / Soundtrack Version",false,50,Louis Prima,Songs and Story: The Jungle Book,2014-01-01
373,Dream A Little Dream Of Me,false,55,Ella Fitzgerald,Ella: The Legendary Decca Recordings,1995-08-29
374,Put the Lime in the Coconut - Acoustic,false,32,Red Tracy,Unplugged Visions,2015-02-20
375,That's What You Think,false,44,Anita O'Day,Let Me Off Uptown: The Best Of Anita O'Day,1941
376,All or Nothing at All,false,46,Scott Hamilton,Ballads for Audiophiles,2017-02-06
377,I'll Look Around,false,55,Billie Holiday,The Lady Sings,1956-01-01
378,Make Yourself Comfortable,false,44,Sarah Vaughan,Sarah Vaughan's Golden Hits,1958-07-07
379,'S Wonderful,false,59,Tony Bennett,Love Is Here To Stay,2018-09-14
380,Isn't This A Lovely Day?,false,52,Ella Fitzgerald,Ella and Louis,1956-01-01
381,I Cover The Waterfront,false,34,Billie Holiday,Billie Holiday,1957-01-01
382,I Hope to Die If I Told a Lie,false,38,The Ink Spots,The Ink Spots Sing the Java Jive,2011-04-08
383,Ain't Nobody's Business,false,48,Scott Hamilton,The Best Things in Life,2016-01-08
384,I've Never Been In Love Before - Vocal Version,false,49,Chet Baker,Chet Baker Sings,1956
385,I'm In The Mood For Love,false,63,Julie London,Julie Is Her Name,2011-01-01
386,Let's Do It (Let's Fall In Love),false,52,Ella Fitzgerald,Someone To Watch Over Me,2017-09-29
387,These 'N' That 'N' Those (with Teddy Wilson & His Orchestra),false,39,Billie Holiday,Lady Day: The Complete Billie Holiday On Columbia - Vol. 1,1933
388,"Waiter, Make Mine Blues",false,45,Anita O'Day,"Waiter, Make Mine The Blues",1961-03-14
389,"Rêverie, L. 68: Rêverie",false,65,Claude Debussy,Debussy Piano Edition,2012-01-01
390,"Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante",false,68,Wolfgang Amadeus Mozart,"Mozart: Piano Concertos, Vol. 6",1995-11-01
391,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",false,71,Johann Sebastian Bach,"Bach: Cello Suites Nos. 1, 5 & 6",1983
392,"Chopin: 24 Preludes, Op. 28: No. 15 in D-Flat Major, ""Raindrop""",false,66,Frédéric Chopin,"Chopin : Preludes, Ballades Nos 3 & 4, Nocturnes",2002-03-01
393,"4 Impromptus, Op.90, D.899: No.4 in A Flat Major: Allegretto",false,18,Franz Schubert,Schubert: Impromptus Opp.90 & 142,1983-01-01
394,Canon & Gigue,false,59,Johann Pachelbel,Pachelbel: Canon & Gigue - Musique de chambre,2007-07-31
395,Etude No. 2,false,64,Philip Glass,Etudes for Piano Vol 1 No. 1-10,2001-05-01
396,"The Four Seasons, Violin Concerto No. 2 in G Minor, RV 315 ""Summer"": III. Presto",false,63,Antonio Vivaldi,Sinkovsky Plays and Sings Vivaldi,2014
397,"Kinderszenen, Op. 15: VII. Träumerei",false,18,Robert Schumann,"Schumann: Piano Concerto, Franck: Symphonic Variations",2002-10-12
398,"Violin Concerto In E Minor, Op.64, MWV O14: 1. Allegro molto appassionato",false,13,Felix Mendelssohn,Mendelssohn: Violin Concerto / Bruch: Violin Concerto / Scottish Fantasy,1982-01-01
399,Vier letzte Lieder: 2. September,false,11,Richard Strauss,"Strauss, R.: Four Last Songs, etc.",1983-01-01
400,"Piano Concerto No. 1 in B-Flat Minor, Op. 23: Allegro non troppo e molto maestoso",false,58,Pyotr Ilyich Tchaikovsky,Tchaikovsky: Concerto No. 1/Rachmaninoff: Concerto No. 2,1987
401,"Requiem in D Minor, Op. 48: IV. Pie Jesu (Ed. Marc Rigaudière)",false,16,Gabriel Fauré,Fauré: Requiem & Messe Basse,2014-12-22
402,"Cello Concerto in E Minor, Op.85 (1988 Digital Remaster): I. Adagio - Moderato",false,55,Edward Elgar,Impressions,1988-08-08
403,"String Quartet No. 62 in C Major, Op. 76, No. 3, Hob.III:77, ""Emperor"": II. Poco adagio, cantabile",false,54,Franz Joseph Haydn,Haydn: String Quartets Nos. 61-63,1988-10-06
404,Fratres,false,9,Arvo Pärt,Arvo Pärt: Tabula Rasa,1984-01-01
405,"Le Nozze di Figaro, K. 492: Sinfonia",false,64,Wolfgang Amadeus Mozart,Mozart: Le nozze di Figaro,2004
406,"Symphony No.4 In E Minor, Op.98: 4. Allegro energico e passionato - Più allegro",false,7,Johannes Brahms,Brahms: Symphony No.4,1981-01-01
407,Violin Concerto BWV 1042 in E Major: Violin Concerto BWV 1042 in E Major: I. Allegro,false,58,Johann Sebastian Bach,Bach: Violin Concertos,2013-03-25
408,Appalachian Spring: VII. Doppio movimento,false,50,Aaron Copland,"Copland: Appalachian Spring, Rodeo, Billy the Kid & Fanfare for the Common Man",1960
409,"Symphony No. 5 in E Minor, Op. 64: IV. Andante maestoso - Allegro vivace",false,48,Pyotr Ilyich Tchaikovsky,Tchaikovsky: Symphony No. 5,1984-11-01
410,"Violin Concerto No.1 in G minor, Op.26: 1. Vorspiel (Allegro moderato)",false,44,Max Bruch,Bruch & Dvorak Violin Concertos,2013-01-01
411,"Goldberg Variations, BWV 988: Aria da capo - 1981 Version",false,47,Johann Sebastian Bach,"A State of Wonder: The Complete Goldberg Variations, BWV 988 (Recorded 1955 & 1981)",2002-08-27
412,West Side Story: 13. Somewhere,false,3,Leonard Bernstein,Bernstein: West Side Story,1998-01-01
413,Violin Concerto - 'To the Memory of an Angel': Violin Concerto - 'To the Memory of an Angel': I. Andante - Allegretto,false,45,Alban Berg,Berg & Beethoven: Violin Concertos,2012-01-01
414,"Bizet: Carmen, WD 31, Act 1 Scene 4: No. 5, Havanaise, ""L'amour est un oiseau rebelle"" (Carmen, Chorus)",false,54,Georges Bizet,Bizet: Carmen,1964
415,"Sonata No. 13 in B-Flat Major, K. 333: I. Allegro",false,48,Wolfgang Amadeus Mozart,Mozart: Piano Sonatas,2011-02-08
416,D. 911: Op. 89 : Gute Nacht,false,34,Dietrich Fischer-Dieskau,Schubert : Winterreise,2007-09-12
417,"Martha: M´apparì, tutt´amor",false,40,Carlo Bergonzi,Early Recordings 1951-1960,2011-01-11
418,"Myrthenblüten, Walzer, Op. 395",false,40,Johann Strauss II,New Year's Concert 2018 / Neujahrskonzert 2018 / Concert du Nouvel An 2018,2018-01-05
419,Ave Maria,false,62,Charles Gounod,Songs from the Arc of Life,2015-09-18
420,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",false,68,Ludwig van Beethoven,"Beethoven: Piano Sonatas, Vol.3",2007-09-25
421,Les amants de Paris - Remasterisé en 2015,false,34,Édith Piaf,Edith Piaf,2017-12-15
422,Nocturne en mi bémol majeur opus 9 n°2: Ballade en Sol Mineur No.1,false,67,Frédéric Chopin,Chopin: Nocturnes (Volume 1),2010-05-18
423,"Liebestraume, S541/R211 : No. 3: Nocturne in A-Flat Major",false,63,Franz Liszt,Liszt: Scherzo and March / 3 Liebestraume / Berceuse,1998-03-05
424,"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scène (Moderato)",false,62,Pyotr Ilyich Tchaikovsky,Tchaikovsky: Swan Lake,1976
425,"Vivaldi: Il Giustino, RV 717, Act 1: ""Vedrò con mio diletto"" (Anastasio)",false,42,Antonio Vivaldi,Vedrò con mio diletto (Vivaldi),2018-03-30
426,"Handel / Arr. Hale: Keyboard Suite in D Minor, HWV 437: III. Sarabande (Arr. Hale for Orchestra)",false,60,George Frideric Handel,Handel Sarabande,2002
427,April Showers,false,9,Judy Garland,Judy,1956
428,La vie en rose - Single Version,false,69,Louis Armstrong,The Best Of The Decca Years Volume One: The Singer,1989-01-01
429,Jazz Suite No. 2: VI. Waltz 2,false,55,Dmitri Shostakovich,Shostakovich: Jazz Suites Nos. 1 - 2 / The Bolt / Tahiti Trot,2002-04-15
430,Padam padam,false,55,Édith Piaf,Eternelle,1987-10-31
431,Come Fly With Me - Remastered,false,69,Frank Sinatra,Come Fly With Me (Remastered),1958
432,The Mission: Gabriel's Oboe,false,56,Ennio Morricone,Yo-Yo Ma Plays Ennio Morricone (Remastered),2004
433,Les trois cloches - Remasterisé en 2015,false,42,Édith Piaf,Edith Piaf,2017-12-15
434,"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)",false,62,Camille Saint-Saëns,Songs from the Arc of Life,2015-09-18
435,I've Got You Under My Skin - Remastered 1998,false,67,Frank Sinatra,Songs For Swingin' Lovers! (Remastered),1956-03
436,"Shostakovich: Piano Quintet in G Minor, Op. 57: I. Prelude (Lento) [Live]",false,48,Dmitri Shostakovich,Shostakovich: Piano Concerto No.1,2007-10-01
437,Symphony No. 9 in D Major: IV. Adagio - Sehr langsam und noch zuruckhaltend,false,48,Gustav Mahler,"Mahler, G.: Symphony No. 9",2009-09-08
438,"Piano Concerto in A Minor, Op.16: I. Allegro molto moderato",false,49,Edvard Grieg,Grieg: Piano Concerto & Lyric Pieces,2015-05-18
439,Meditation: Méditation from Thaïs,false,50,Jules Massenet,Szymanowski: Violin Concerto No.1,2005-01-01
440,Any Place I Hang My Hat Is Home,false,11,Judy Garland,Judy,1956
441,Sous le ciel de Paris,false,48,Édith Piaf,Eternelle,1987-10-31
442,You Make Me Feel So Young - Remastered 1998,false,64,Frank Sinatra,Songs For Swingin' Lovers! (Remastered),1956-03
443,Come Rain Or Come Shine,false,36,Judy Garland,Judy,1956
444,If You Were Mine (with Teddy Wilson & His Orchestra),false,41,Billie Holiday,Lady Day: The Complete Billie Holiday On Columbia - Vol. 1,1933
445,"Bach, JC: Lamento: Ach, dass ich Wassers g'nug hätte",false,13,Johann Christoph Bach,"Himmelsmusik - Bach, J.C.: Lamento: Ach, dass ich Wassers g'nug hätte",2018-09-07
446,At Last,false,74,Etta James,At Last!,1960
447,Easy Living (with Teddy Wilson & His Orchestra),false,48,Billie Holiday,Lady Day: The Complete Billie Holiday On Columbia (1933-1944),1933
448,Beyond the Sea,false,62,Bobby Darin,That's All,1959
449,All Of You,false,34,Sammy Davis Jr.,The Decca Years,1990-01-01
450,A Kiss To Build A Dream On - Single Version,false,62,Louis Armstrong,The Best Of The Decca Years Volume One: The Singer,1989-01-01
451,"Turandot / Act 3: ""Nessun dorma!""",false,63,Giacomo Puccini,Puccini: Turandot - Highlights,1973-01-01
452,I'll Be Seeing You,false,61,Billie Holiday,Billie Holiday,1957-01-01
453,"Chopin: Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",false,37,Frédéric Chopin,Chopin : Noctures Nos 1 - 11,1994-07-01
454,Lover Man,false,43,Billie Holiday,Lover Man,1958-01-01
455,Adagio For Strings,false,27,Peter Samuels,Motivation: Inspiring Notes,2018-01-19
456,Carmen Suite No.1: 5. Les toréadors,false,48,Georges Bizet,Bizet: Carmen Suites; L'Arlésienne Suites,1994-08-04
457,Fever - Remastered,false,55,Peggy Lee,Great Ladies Of Song / Spotlight On Peggy Lee,1995-01-01
458,Don't Lose Your Sense Of Humor,false,38,Jimmy Durante,September Song,1963
459,"Mozart / Arr Grieg: Piano Sonata No. 16 in C Major, K. 545: I. Allegro (Arr. Grieg for 2 Pianos) [Live]",false,62,Wolfgang Amadeus Mozart,Live from the Lugano Festival 2005,2006-06-05
460,"Unaccompanied Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",false,40,Johann Sebastian Bach,Inspired By Bach: The Cello Suites (Remastered),1997
461,The Carnival of the Animals: Aquarium,false,38,Camille Saint-Saëns,Peter and the Wolf/ Carnival of the Animals,1989
462,The Carnival of the Animals: Royal March of the Lion,false,18,Camille Saint-Saëns,Peter and the Wolf/ Carnival of the Animals,1989
463,The Carnival of the Animals: Hens and cocks,false,15,Camille Saint-Saëns,Peter and the Wolf/ Carnival of the Animals,1989
464,The Carnival of the Animals: Wild asses,false,15,Camille Saint-Saëns,Peter and the Wolf/ Carnival of the Animals,1989
465,The Carnival of the Animals: Tortoises,false,16,Camille Saint-Saëns,Peter and the Wolf/ Carnival of the Animals,1989
466,The Carnival of the Animals: The Elephant,false,19,Camille Saint-Saëns,Peter and the Wolf/ Carnival of the Animals,1989
467,The Carnival of the Animals: Kangaroos,false,15,Camille Saint-Saëns,Peter and the Wolf/ Carnival of the Animals,1989
468,The Carnival of the Animals: Persons with long ears,false,14,Camille Saint-Saëns,Peter and the Wolf/ Carnival of the Animals,1989
469,The Carnival of the Animals: The Cuckoo in the Depths of the woods,false,28,Camille Saint-Saëns,Peter and the Wolf/ Carnival of the Animals,1989
470,The Carnival of the Animals: The Aviary,false,15,Camille Saint-Saëns,Peter and the Wolf/ Carnival of the Animals,1989
471,The Carnival of the Animals: Pianists,false,14,Camille Saint-Saëns,Peter and the Wolf/ Carnival of the Animals,1989
472,The Carnival of the Animals: Fossils,false,17,Camille Saint-Saëns,Peter and the Wolf/ Carnival of the Animals,1989
473,The Carnival of the Animals: The Swan,false,42,Camille Saint-Saëns,Peter and the Wolf/ Carnival of the Animals,1989
474,The Carnival of the Animals: Finale,false,16,Camille Saint-Saëns,Peter and the Wolf/ Carnival of the Animals,1989
475,"Violin Concerto in D Major, Op. 35, TH 59: I. Allegro moderato",false,27,Pyotr Ilyich Tchaikovsky,Best of Tchaikovsky,2019-01-04
476,Bags,true,41,Leikeli47,Wash & Set,2017-09-08
477,"thank u, next",true,88,Ariana Grande,"thank u, next",2018-11-03
478,Two Times a Charm,true,30,Leikeli47,Leikeli47,2015-04-17
479,Pxssy Powah!,true,34,Nitty Scott,Creature!,2017-07-21
480,Where My Girls,true,39,Dai Burger,Soft Serve,2017-08-25
481,Level Up,false,76,Ciara,Level Up,2018-07-18
482,Country Boy,true,29,Junglepussy,Pregnant with Success,2015-11-17
483,I Like That,true,68,Janelle Monáe,Dirty Computer,2018-04-27
484,F E M A L E,false,48,Sampa the Great,The Great Mixtape,2015-10-16
485,Skwod,true,45,Nadia Rose,Highly Flammable,2017-01-13
486,Consideration,true,54,Rihanna,ANTI (Deluxe),2016-01-28
487,Money,true,46,Leikeli47,Money,2016-08-26
488,"Us (feat. Rocky Rivera, Klassy & Faith Santilla)",true,38,Ruby Ibarra,Circa91,2017-10-03
489,Cartoons,false,42,cupcakKe,Ephorize,2018-01-05
490,borderline (feat. Missy Elliott),true,69,Ariana Grande,Sweetener,2018-08-17
491,Sex With Me,true,65,Rihanna,ANTI (Deluxe),2016-01-28
492,Die Young,false,63,Sylvan Esso,What Now,2017-04-28
493,Call Your Girlfriend,false,56,Robyn,Body Talk,2010-01-01
494,Here,true,30,Ruby Ibarra,Circa91,2017-10-03
495,Sorry Not Sorry,true,83,Demi Lovato,Tell Me You Love Me,2017-09-29
496,Piece of Me,false,65,Britney Spears,Blackout,2007-10-25
497,no tears left to cry,false,89,Ariana Grande,Sweetener,2018-08-17
498,Nothing for Me,true,30,Junglepussy,Pregnant with Success,2015-11-17
499,Decline Him,true,41,Quay Dash,Transphobic,2017-07-07
500,Paf,true,35,Chynna,Ninety,2016-08-19
501,goodnight n go,true,76,Ariana Grande,Sweetener,2018-08-17
502,Creator (vs. Switch and FreQ Nasty),false,42,Santigold,Santigold,2008-04-29
503,Lofty,true,16,Lil Debbie,Lofty,2015-06-10
504,Meet and Greet,false,28,cupcakKe,Ephorize,2018-01-05
505,Work It,true,72,Missy Elliott,Under Construction,2002-11-11
506,Whip My Hair,false,3,Willow,Whip My Hair,2010-10-26
507,Krippy Kush - Remix,true,61,Farruko,Krippy Kush (Remix),2017-11-21
508,Crew Cut,false,36,Tijuana Panthers,EP,2008-08-26
509,Empty Head,false,33,Screaming Females,Rose Mountain,2015-02-24
510,Video,false,19,Guantanamo Baywatch,Desert Center,2017-08-04
511,Friend of Nothing - Acoustic,false,48,together PANGEA,Sleeping Til Sunset (Acoustic Versions),2018-06-29
512,Siin,false,38,Habibi,Habibi,2013
513,Tryin',false,34,Shannon and The Clams,Onion,2018-02-16
514,Ballin,true,49,Parisalexa,Flexa,2018-06-08
515,Till The End,false,42,Curtis Harding,Face Your Fear,2017-10-27
516,Coming Home,false,69,Leon Bridges,Coming Home,2015-06-15
517,Don't Wanna Fight,false,45,Alabama Shakes,Sound & Color,2015-04-21
518,Daisy Mae,false,55,Leon Bridges,Coming Home (Deluxe),2016-02-05
519,Sound & Color,false,44,Alabama Shakes,Sound & Color,2015-04-21
520,O Me O My,false,44,Son Little,New Magic,2017-09-15
521,Hold On,false,52,Alabama Shakes,Boys & Girls,2012-01-01
522,This Feeling,false,41,Alabama Shakes,Sound & Color,2015-04-21
523,"Bitch, I Love You",true,44,Black Joe Lewis & The Honeybears,Black Joe Lewis & The Honeybears,2008-01-01
524,You Go Down Smooth,false,60,Lake Street Dive,Bad Self Portraits,2014-02-18
525,You Are the Best Thing,false,65,Ray LaMontagne,Gossip In The Grain,2008-10-13
526,Only For You,false,50,Heartless Bastards,Arrow,2012-02-14
527,"One, Two Step",false,76,Ciara,Goodies,2004-09-24
528,Don't Blame Me,false,42,Santigold,I Don't Want: The Gold Fire Sessions,2018-07-27
529,Die Young,false,63,Sylvan Esso,What Now,2017-04-28
530,La Diaspora (feat. Zap Mama),true,40,Nitty Scott,Creature!,2017-07-21
531,Rebel Girl,false,59,Bikini Kill,The Punk Singer (Original Motion Picture Soundtrack),2015-10-13
532,Where My Girls,true,39,Dai Burger,Soft Serve,2017-08-25
533,I Like It,true,90,Cardi B,Invasion of Privacy,2018-04-06
534,Chun-Li,true,76,Nicki Minaj,Queen,2018-08-10
535,Lip Gloss,false,61,Lil Mama,Lip Gloss,2007-03-06
536,Money,true,58,Leikeli47,Wash & Set,2017-09-08
537,Werkin' Girls,true,52,Angel Haze,New York EP,2012-01-01
538,Youths Dem Cold,false,34,Richie Spice,Reggae Gold 2006,2006-06-12
539,Djama,false,30,Amadou & Mariam,Welcome To Mali,2008-11-17
540,My Mind Playin Tricks On Me,true,0,Geto Boys,Uncut Dope,1992-11-17
541,Mind Playing Tricks on Me,true,66,Geto Boys,We Can't Be Stopped,1991-07-02
542,Children's Story,true,62,Slick Rick,The Great Adventures Of Slick Rick,1988-11-03
543,Gettin' It,true,57,Too $hort,Gettin' It (Album Number Ten),1996-05-21
544,It's Funky Enough - Remastered Single,false,52,The D.O.C.,No One Can Do It Better,1989
545,93 'Til Infinity,false,70,Souls Of Mischief,93 'til Infinity,1993
546,Super Freak (feat. Lil Uzi Vert),true,52,Shy Glizzy,Fully Loaded,2018-10-12
547,SWING (feat. Normani & Davido),true,63,Quavo,QUAVO HUNCHO,2018-10-12
548,Loose Teeth,false,38,La Luz,Floating Features,2018-05-11
549,Ozma,false,40,Shannon and The Clams,Dreams in the Rat House,2013-05-21
550,Blind,false,37,Hercules & Love Affair,Hercules & Love Affair,2008-02-25
551,Sing It Back - Boris Dlugosch Mix,false,62,Moloko,Catalogue,2006-07-17
552,Trick Me - Club Mix,true,50,Kelis,Tasty,2003-12-09
553,Pull Up To The Bumper,false,30,Grace Jones,Island Life,1985-12-01
554,Maniac,false,41,Moullinex,Casablanca Reworks,2012-01-27
555,J'OUVERT,true,64,BROCKHAMPTON,iridescence,2018-09-21
556,1999 WILDFIRE,true,72,BROCKHAMPTON,1999 WILDFIRE,2018-07-07
557,Blaxploitation,true,57,Noname,Room 25,2018-09-14
558,Hijo de Su Madre,true,59,Omar Apollo,Stereo,2018-05-30
559,Love You Back,false,49,Metric,Art of Doubt,2018-09-21
560,Imagine (feat. Simon Sayz & Crystal Torres),false,47,Lupe Fiasco,DROGAS WAVE,2018-09-21
561,Keep The devil Off,false,44,Big K.R.I.T.,4eva Is A Mighty Long Time,2017-10-27
562,NEW DORP. NEW YORK,false,46,SBTRKT,Wonder Where We Land,2014-10-07
563,Hustler (feat. Gallo),false,29,Pearl,Pleasure,2015-06-02
564,Decline Him,true,41,Quay Dash,Transphobic,2017-07-07
565,Cut It Up,false,24,TT The Artist,Cut It Up,2018-02-13
566,FckBoi,true,26,Jiggly Caliente,T.H.O.T. Process,2018-03-09
567,Playbill$,true,29,Ruby Ibarra,Circa91,2017-10-03
568,The Distance (feat. Ty Dolla $ign),true,46,Mariah Carey,The Distance (feat. Ty Dolla $ign),2018-10-18
569,L.M.F.,true,15,Smino,L.M.F.,2018-10-26
570,Arms Around You (feat. Maluma & Swae Lee),true,89,XXXTENTACION,Arms Around You (feat. Maluma & Swae Lee),2018-10-25
571,Smells Like Teen Spirit,false,76,Nirvana,Nevermind (Remastered),1991-09-26
572,A Girl Like You,false,64,Edwyn Collins,Gorgeous George,1994
573,Monkey Gone to Heaven,false,62,Pixies,Doolittle,1989-04-17
574,Downer - Remastered,false,54,Nirvana,Bleach: Deluxe Edition,2009-11-03
575,Pop Song for Us Rejects,false,39,Silverchair,Freak Show,1997
576,Lounge Act,false,55,Nirvana,Nevermind (Remastered),1991-09-26
577,Milk It,false,51,Nirvana,In Utero - 20th Anniversary Remaster,1993-09-21
578,Snakecharmer,true,49,Rage Against The Machine,Evil Empire,1996-04-15
579,Stay Away,false,55,Nirvana,Nevermind (Remastered),1991-09-26
580,Paper Cuts - Remastered,false,51,Nirvana,Bleach: Deluxe Edition,2009-11-03
581,Frances Farmer Will Have Her Revenge On Seattle,false,54,Nirvana,In Utero - 20th Anniversary Remaster,1993-09-21
582,Mr. Moustache - Remastered,false,54,Nirvana,Bleach: Deluxe Edition,2009-11-03
583,Very Ape,false,55,Nirvana,In Utero - 20th Anniversary Remaster,1993-09-21
584,Lithium,false,70,Nirvana,Nevermind (Remastered),1991-09-26
585,Negative Creep - Remastered,false,56,Nirvana,Bleach: Deluxe Edition,2009-11-03
586,Breed,false,58,Nirvana,Nevermind (Remastered),1991-09-26
587,All Apologies,false,68,Nirvana,In Utero - 20th Anniversary Remaster,1993-09-21
588,Floyd The Barber - Remastered,false,53,Nirvana,Bleach: Deluxe Edition,2009-11-03
589,Move On,false,35,No Doubt,No Doubt,1992-01-01
590,Is She Weird,false,47,Pixies,Bossanova,1990-08-13
591,Atrocity Exhibition - 2007 Remaster,false,47,Joy Division,Closer,1980
592,Your Dog,true,63,Soccer Mommy,Clean,2018-03-02
593,Fly Me To The Moon (In Other Words),false,73,Frank Sinatra,Sinatra/Basie: The Complete Reprise Studio Recordings,1962-12-10
594,You Are My Sunshine,false,58,Johnny Cash,Unearthed,2003-01-01
